longitude,latitude
4.0135276,39.9854593
4.0134773,39.9855372
4.0132321,39.9853333
4.0093738,39.9835232
4.0084796,39.9833719
4.0074791,39.9835804
4.1860805,40.0272222
4.1860381,40.025051
4.1403732,39.9448575
4.0134746,39.9853403
4.005308,39.9856814
3.9568869,40.0099521
3.9426213,40.0071036
3.9310256,40.0061746
3.9099192,40.0040238
3.8853784,40.0060766
3.8651357,40.0070371
3.8600047,40.0060624
3.8585273,40.005673
3.8585764,40.0053437
3.8598687,40.0057416
3.8535953,40.0050226
3.850396,40.0046016
3.8499035,40.004698
3.8496077,40.0045378
3.8496804,40.0044265
3.84993,40.0044111
3.8500018,40.0044674
3.8497217,40.0024405
3.8499669,40.0024752
3.8457066,40.0015655
3.8454449,40.0012414
3.8450593,39.9993652
3.8424726,39.998063
3.8398222,39.9969574
3.8389641,39.9962627
3.838204,39.9957034
3.8364249,39.9947809
3.8360872,39.9987713
3.8375825,39.9989653
3.8399304,40.0001075
3.8423184,39.998839
4.1480486,39.924112
4.1477649,39.9253085
4.1448424,39.9266727
4.141277,39.9297633
4.1405055,39.9307688
4.1473533,39.9322278
4.1487017,39.9317948
4.1541589,39.929246
4.1557232,39.9285157
4.1562797,39.9282714
4.1448028,39.933837
4.1439272,39.9351688
4.143527,39.9354325
4.1392242,39.938318
4.1389379,39.9383619
4.1424924,39.9425011
4.1427553,39.93528
4.2542854,39.8960232
4.254548,39.8958854
4.2546307,39.8959108
4.2547188,39.896116
4.2544192,39.8962153
4.0058727,39.9847001
4.2546254,39.8965469
4.2573378,39.8975496
4.1392976,40.0323217
4.2263208,39.8688896
4.2261978,39.8688755
4.2261572,39.8686122
4.226487,39.8687741
4.2260404,39.8672646
4.2279503,39.8782336
4.2279006,39.8778341
4.2279459,39.8778079
4.228281,39.8778031
4.2284379,39.8779704
4.2289225,39.8782363
4.2485783,39.8926383
4.2482497,39.8920044
4.2468894,39.8995058
4.2286119,39.9180614
4.2175818,39.9507676
4.1534078,40.0071919
4.120565,40.0223323
4.1160514,40.0245002
4.2271164,39.9743492
4.2487409,39.9029246
4.1592523,40.0160684
4.1626623,40.0168696
4.1618799,40.0244475
4.1632681,40.0277385
4.1652036,40.0292768
4.1652795,40.0298042
4.1661688,40.0289309
4.1665677,40.0343074
4.1668893,40.0334364
4.189856,40.0139869
4.1905042,40.0154994
4.1888292,40.0159284
4.1896017,40.0177269
4.1774277,40.0214954
4.1787533,40.0219401
4.1770465,40.0231743
4.1786188,40.0206333
4.1880953,40.021113
4.1910857,40.0173536
4.1206514,40.0400511
4.1122607,40.0428251
4.1103634,40.0494167
4.1087004,40.0487471
4.1107216,40.0436329
4.1119277,40.0429427
4.1281213,40.0507249
4.1297538,40.0537586
4.1319413,40.0566609
4.1324421,40.0587235
4.132956,40.0618645
4.1318081,40.0563994
4.1006913,40.0061598
3.8360244,40.0000683
3.8362253,39.9947395
3.8332414,39.9992312
3.8352643,40.0000463
3.836482,39.992726
3.8361319,39.9845238
3.8376728,39.9831419
3.8395257,39.9812172
4.2257412,39.8940293
4.1768902,39.918247
4.1573509,39.9276118
4.1421032,39.9265415
4.1367214,39.9273547
4.1296,39.9368323
4.1290396,39.93698
4.1139169,39.9410447
4.1109944,39.9480515
4.0922595,39.9862451
4.0920179,39.9864958
4.0910252,39.9871852
4.090225,39.9876541
4.0669338,39.9852728
4.0376595,39.9850151
4.0179698,39.985589
4.0174732,39.9855493
4.0174794,39.9857205
4.0171773,39.9855861
3.8607553,40.0014833
3.860449,40.0015255
3.8602759,40.0013646
3.8498967,39.9997401
3.8496274,39.9996922
3.8495357,39.999544
3.8499752,39.999712
3.8473327,39.9979295
3.8465304,39.9969049
3.8458055,39.9958864
3.8458802,39.9957246
3.844989,39.9911755
3.8447763,39.9910748
3.8447515,39.9908726
3.8405818,39.9893185
3.8403415,39.9893574
3.8398252,39.9889853
4.2262907,39.8635298
4.2271705,39.8633998
4.2275751,39.8637688
4.2279298,39.8657714
4.2277153,39.8660314
4.2274631,39.8661783
4.2261942,39.867252
4.2262682,39.8678774
4.2294058,39.8927878
4.2493798,39.8908088
4.2488459,39.8888696
4.2509679,39.8910115
4.2535469,39.8905576
4.2557437,39.8895278
4.2564069,39.889645
4.2574876,39.8898837
4.2578788,39.8899599
4.2584991,39.8899247
4.2588094,39.8893964
4.2708977,39.8882682
4.2734752,39.8876851
4.2647582,39.8821101
4.260309,39.8821649
4.2557478,39.8824787
4.0941095,39.9913748
4.0956636,39.9883206
4.0955969,39.9881798
4.0955285,39.9881053
4.0957412,39.9880473
4.0959082,39.987747
4.0956806,39.9861327
4.0951433,39.9852406
4.0951576,39.9841858
4.0949055,39.9839513
4.094677,39.9840815
4.0945172,39.9839601
4.0941837,39.9839975
